bioguideid,congress,introducedDate,actionDate,text,number,policyArea,title,type,url
I000024,116,2019-06-13,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/605?format=json
I000024,116,2019-06-18,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/741?format=json
I000024,116,2019-06-18,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/740?format=json
I000024,116,2019-06-18,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/721?format=json
I000024,116,2019-06-18,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/711?format=json
I000024,116,2019-06-18,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/691?format=json
I000024,116,2019-06-13,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/617?format=json
I000024,116,2019-04-11,2019-04-11,Read twice and referred to the Committee on Finance.,1216,{'name': 'Taxation'},A bill to amend the Internal Revenue Code of 1986 to permanently extend the depreciation rules for property used predominantly within an Indian reservation.,S,https://api.congress.gov/v3/bill/116/s/1216?format=json
I000024,115,2017-09-19,2017-09-19,Read twice and referred to the Committee on Energy and Natural Resources.,1844,{'name': 'Energy'},Coordinating Interagency Review of Natural Gas Infrastructure Act of 2017,S,https://api.congress.gov/v3/bill/115/s/1844?format=json
I000024,116,2019-03-28,,,,{},,,https://api.congress.gov/v3/amendment/116/samdt/222?format=json
I000024,115,2018-07-17,2018-07-17,Read twice and referred to the Committee on Environment and Public Works.,3226,{'name': 'Environmental Protection'},Light-Duty Natural Gas Vehicle Parity Act of 2018,S,https://api.congress.gov/v3/bill/115/s/3226?format=json
