bioguideid,congress,introducedDate,actionDate,text,number,policyArea,title,type,url
I000024,115,2018-11-27,blah,blha,3661,blah,An act to provide for a program of the Department of Defense to commemorate the 75th anniversary of World War II,S,https://api.congress.gov/v3/bill/115/s/3661?format=json
I000024,116,2019-04-11,blah,blha,1215,blah,National Defense Authorization Act for Fiscal Year 2020,S,https://api.congress.gov/v3/bill/116/s/1215?format=json
I000024,116,2019-06-19,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/764?format=json
I000024,116,2019-06-13,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/605?format=json
I000024,116,2019-06-18,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/741?format=json
I000024,116,2019-06-18,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/740?format=json
I000024,116,2019-06-18,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/721?format=json
I000024,116,2019-06-18,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/711?format=json
I000024,116,2019-06-18,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/691?format=json
I000024,116,2019-06-13,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/617?format=json
I000024,116,2019-04-11,blah,blha,1216,blah,A bill to amend the Internal Revenue Code of 1986 to permanently extend the depreciation rules for property used predominantly within an Indian reservation.,S,https://api.congress.gov/v3/bill/116/s/1216?format=json
I000024,115,2017-09-19,blah,blha,1844,blah,Coordinating Interagency Review of Natural Gas Infrastructure Act of 2017,S,https://api.congress.gov/v3/bill/115/s/1844?format=json
I000024,116,2019-03-28,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/222?format=json
I000024,115,2018-07-17,blah,blha,3226,blah,Light-Duty Natural Gas Vehicle Parity Act of 2018,S,https://api.congress.gov/v3/bill/115/s/3226?format=json
I000024,115,2018-04-19,blah,blha,2716,blah,"A bill to direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes.",S,https://api.congress.gov/v3/bill/115/s/2716?format=json
I000024,116,2019-03-13,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/194?format=json
I000024,115,2018-09-17,blah,blha,3446,blah,CIVICS Act of 2018,S,https://api.congress.gov/v3/bill/115/s/3446?format=json
I000024,116,2019-01-08,blah,blha,11,blah,"A resolution honoring the 150th anniversary of Fort Sill in Lawton, Oklahoma.",SRES,https://api.congress.gov/v3/bill/116/sres/11?format=json
I000024,116,2019-02-05,blah,blha,42,blah,An original resolution authorizing expenditures by the Committee on Armed Services.,SRES,https://api.congress.gov/v3/bill/116/sres/42?format=json
I000024,112,2012-11-28,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/3072?format=json
I000024,112,2012-11-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2978?format=json
I000024,112,2012-11-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2979?format=json
I000024,112,2012-11-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2970?format=json
I000024,112,2012-11-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2973?format=json
I000024,112,2012-11-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2971?format=json
I000024,112,2012-11-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2974?format=json
I000024,112,2012-11-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2976?format=json
I000024,112,2012-11-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2975?format=json
I000024,112,2012-11-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2977?format=json
I000024,112,2012-11-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2972?format=json
I000024,112,2012-06-11,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2249?format=json
I000024,112,2012-06-11,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2250?format=json
I000024,112,2012-06-11,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2251?format=json
I000024,112,2012-05-21,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2113?format=json
I000024,112,2012-04-17,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/2006?format=json
I000024,112,2012-03-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/1974?format=json
I000024,112,2012-03-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/1967?format=json
I000024,112,2012-03-27,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/1963?format=json
I000024,112,2012-03-19,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/1889?format=json
I000024,112,2012-03-19,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/1890?format=json
I000024,112,2012-03-19,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/1886?format=json
I000024,112,2012-03-19,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/1887?format=json
I000024,112,2012-03-19,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/112/samdt/1888?format=json
I000024,113,2014-09-18,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3912?format=json
I000024,113,2014-09-18,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3911?format=json
I000024,113,2014-09-18,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3894?format=json
I000024,113,2014-09-17,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3831?format=json
I000024,113,2014-09-17,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3826?format=json
I000024,113,2014-07-24,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3665?format=json
I000024,113,2014-07-22,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3578?format=json
I000024,113,2014-07-17,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3568?format=json
I000024,113,2014-07-17,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3569?format=json
I000024,113,2014-07-09,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3483?format=json
I000024,113,2014-06-19,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3340?format=json
I000024,113,2014-06-19,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3341?format=json
I000024,113,2014-06-19,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3342?format=json
I000024,113,2014-06-19,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3343?format=json
I000024,113,2014-06-18,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3274?format=json
I000024,113,2014-06-18,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3275?format=json
I000024,113,2014-06-18,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3273?format=json
I000024,113,2014-06-12,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3243?format=json
I000024,113,2014-05-15,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3208?format=json
I000024,113,2014-05-13,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/3056?format=json
I000024,113,2014-05-05,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/2978?format=json
I000024,113,2014-05-05,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/2977?format=json
I000024,113,2014-05-05,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/2980?format=json
I000024,113,2014-05-05,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/2979?format=json
I000024,113,2014-04-01,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/2890?format=json
I000024,113,2014-03-24,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/2855?format=json
I000024,113,2014-01-16,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/113/samdt/2663?format=json
